code,descr,lang_code,is_active,cr_by,cr_dtimes
RS_DOW_UIN_FAILURE_EMAIL,Télécharger l'e-mail d'échec e-UIN,fra,True,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Télécharger le sujet de l'e-mail d'échec e-UIN,fra,True,superadmin,now()
RS_DOW_UIN_FAILURE_SMS,Télécharger le SMS d'échec e-UIN,fra,True,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Échec du verrouillage des e-mails des types d'authentification,fra,True,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Échec du verrouillage des types d'authentification Objet de l'e-mail,fra,True,superadmin,now()
RS_LOCK_AUTH_FAILURE_SMS,Échec du verrouillage des types d'authentification SMS,fra,True,superadmin,now()
RS_UIN_RPR_FAILURE_EMAIL,E-mail d'échec de la demande de réimpression,fra,True,superadmin,now()
RS_UIN_RPR_FAILURE_EMAIL_SUB,Échec de la demande de réimpression Objet de l'e-mail,fra,True,superadmin,now()
RS_UIN_RPR_FAILURE_SMS,SMS d'échec de la demande de réimpression,fra,True,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL,Échec du déverrouillage de la messagerie électronique des types d'authentification,fra,True,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL_SUB,Échec du déverrouillage du sujet de l'e-mail des types d'authentification,fra,True,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_SMS,Échec de déverrouillage des types d'authentification SMS,fra,True,superadmin,now()
RS_VIN_GEN_FAILURE_EMAIL,E-mail d'échec de génération de VID,fra,True,superadmin,now()
RS_VIN_GEN_FAILURE_EMAIL_SUB,Objet de l'e-mail d'échec de génération de VID,fra,True,superadmin,now()
RS_VIN_GEN_FAILURE_SMS,SMS d'échec de génération de VID,fra,True,superadmin,now()
RS_VIN_REV_FAILURE_EMAIL,E-mail d'échec de révocation de VID,fra,True,superadmin,now()
RS_VIN_REV_FAILURE_EMAIL_SUB,Objet de l'e-mail d'échec de la révocation du VID,fra,True,superadmin,now()
RS_VIN_REV_FAILURE_SMS,SMS d'échec de révocation de VID,fra,True,superadmin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL,E-mail de demande de mise à jour UIN placé avec succès,fra,True,superadmin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL_SUB,Sujet de la demande de mise à jour UIN placé avec succès,fra,True,superadmin,now()
RS_UIN_UPDATE_SUCCESS_SMS,Demande de mise à jour UIN placée avec succès SMS,fra,True,superadmin,now()
RS_UIN_UPDATE_FAILURE_EMAIL,E-mail d'échec de la demande de mise à jour UIN,fra,True,superadmin,now()
RS_UIN_UPDATE_FAILURE_EMAIL_SUB,Échec de la demande de mise à jour de l'UIN,fra,True,superadmin,now()
RS_UIN_UPDATE_FAILURE_SMS,Echec de la demande de mise à jour UIN SMS,fra,True,superadmin,now()
RPR_RPV_SUC_EMAIL,Registration Packet Validation Success Email,fra,True,superadmin,now()
RPR_RPV_SUC_SMS,Registration Packet Validation Success SMS,fra,True,superadmin,now()
RPR_UPV_SUC_EMAIL,Update Packet Validation Success Email,fra,True,superadmin,now()
RPR_UPV_SUC_SMS,Update Packet Validation Success SMS,fra,True,superadmin,now()
RPR_LPV_SUC_EMAIL,Lost Packet Validation Success Email,fra,True,superadmin,now()
RPR_LPV_SUC_SMS,Lost Packet Validation Success SMS,fra,True,superadmin,now()
RPR_RUPV_SUC_EMAIL,Resident Update Packet Validation Success Email,fra,True,superadmin,now()
RPR_RUPV_SUC_SMS,Resident Update Packet Validation Success SMS,fra,True,superadmin,now()
RPR_PPV_SUC_EMAIL,Re-print Packet Validation Success Email,fra,True,superadmin,now()
RPR_PPV_SUC_SMS,Re-print Packet Validation Success SMS,fra,True,superadmin,now()
RPR_APV_SUC_EMAIL,Activate Packet Validation Success Email,fra,True,superadmin,now()
RPR_APV_SUC_SMS,Activate Packet Validation Success SMS,fra,True,superadmin,now()
RPR_DPV_SUC_EMAIL,De-activate Packet Validation Success Email,fra,True,superadmin,now()
RPR_DPV_SUC_SMS,De-activate Packet Validation Success SMS,fra,True,superadmin,now()
RPR_RPV_SUC_EMAIL_SUB,Registration Packet Validation Success Email Sub,fra,True,superadmin,now()
RPR_UPV_SUC_EMAIL_SUB,Update Packet Validation Success Email Sub,fra,True,superadmin,now()
RPR_LPV_SUC_EMAIL_SUB,Lost Packet Validation Success Email Sub,fra,True,superadmin,now()
RPR_PPV_SUC_EMAIL_SUB,Re-print Packet Validation Success Email Sub,fra,True,superadmin,now()
RPR_RUPV_SUC_EMAIL_SUB,Resident Update Packet Validation Success Email Sub,fra,True,superadmin,now()
RPR_APV_SUC_EMAIL_SUB,Activate Packet Validation Success Email Sub,fra,True,superadmin,now()
RPR_DPV_SUC_EMAIL_SUB,De-activate Packet Validation Success Email Sub,fra,True,superadmin,now()
RS_CRE_REQ_SUCCESS_SMS,Credential Issuance Success SMS,fra,True,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL,Credential Issuance Success EMAIL,fra,True,superadmin,now()
RS_CRE_REQ_SUCCESS_EMAIL_SUB,Credential Issuance Success EMAIL Subject,fra,True,superadmin,now()
RS_CRE_STATUS_SMS,Credential Issuance Status Check SMS,fra,True,superadmin,now()
RS_CRE_STATUS_EMAIL,Credential Issuance Status Check EMAIL,fra,True,superadmin,now()
RS_CRE_STATUS_EMAIL_SUB,Credential Issuance Status Check EMAIL Subject,fra,True,superadmin,now()
RS_CRE_CANCEL_SUCCESS_SMS,Credential Request Cancel Success SMS,fra,True,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL,Credential Request Cancel Success EMAIL,fra,True,superadmin,now()
RS_CRE_CANCEL_SUCCESS_EMAIL_SUB,Credential Request Cancel Success EMAIL Subject,fra,True,superadmin,now()
RS_CRE_REQ_FAILURE_SMS,Credential Issuance Failure SMS,fra,True,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL,Credential Issuance Failure EMAIL,fra,True,superadmin,now()
RS_CRE_REQ_FAILURE_EMAIL_SUB,Credential Issuance Failure EMAIL Subject,fra,True,superadmin,now()
reg-ack-template-part,Modèle d'accusé de réception d'inscription,fra,True,superadmin,now()
reg-preview-template-part,Modèle d'aperçu d'inscription,fra,True,superadmin,now()
reg-dashboard-template,Modèle de tableau de bord,fra,True,superadmin,now()
reg-preview-template-part1,Modèle d'aperçu d'inscription,fra,True,superadmin,now()
reg-preview-template-part2,Modèle d'aperçu d'inscription,fra,True,superadmin,now()
reg-preview-template-part3,Modèle d'aperçu d'inscription,fra,True,superadmin,now()
reg-preview-template-part4,Modèle d'aperçu d'inscription,fra,True,superadmin,now()
